titulo,autor(es),editora,descrição
Necrópole - Histórias de Bruxaria,Richard Diegues; Alexandre Fernandes Heredia; Camila Fernandes; Eric Novello; Gianpaolo Celli; Nazarethe Fonseca,,"Em todas as épocas, e desde sempre, magia, feitiços e rituais que invocam o sobrenatural, o não visível, permeiam a condição humana, ora de maneira aberta, ora oculta, mas sempre no borbulhante, profundo e sombrio caldeirão do mistério ancestral. Serão devaneios? Crendices? Ou será possível que o fantástico aconteça diante dos nossos olhos?
 

Em cada uma das seis histórias que integram este volume, o impossível rompe as fronteiras da percepção comum e traz o terror fantástico para o palpável mundo do cotidiano. A bruxaria coloca a sanidade em xeque. De olhos abertos ou de olhos fechados, não há mais como sentir-se seguro nessa Necrópole.
 

Necrópole – histórias de bruxaria é o terceiro volume de uma coleção dedicada à nova nata do suspense e do terror. A cada livro, um tema diferente, sempre com escritores brasileiros, que apresentam histórias distintas, mas o mesmo cenário: a Necrópole, metrópole que noite e dia digere nossas almas, gerando em seu ventre cadáveres célebres e assassinos anônimos. 
"
Angústia,Stephen King,,"Paul Sheldon, um famoso escritor, tem sua vida transformada em um pesadelo sem fim, quando em uma terrível nevasca perde a direção do carro e sofre um acidente horrível, quebrando uma perna, deslocando a bacia e esmagando o joelho. Mas o pior ainda estava por vir. Pois ele é ajudado por sua fã nº 1, que colocará em cárcere o pobre escritor, até que ele escreva um final feliz para Misery Chastain, sua personagem preferida.
"
Carrie a Estranha,Stephen King,,"Carrie, a Estranha narra a atormentada adolescência de uma jovem problemática, perseguida pelos colegas, professores e impedida pela mãe de levar a vida como as garotas de sua idade. Só que Carrie guarda um segredo: quando ela está por perto, objetos voam, portas são trancadas ao sabor do nada, velas se apagam e voltam a iluminar, misteriosamente.
 

Aos 16 anos, desajustada socialmente, Carrie prepara sua vingança contra todos os que a prejudicaram. A vendeta vem à tona de forma tão furiosa e amedrontadora que até hoje permanece como exemplo de uma das mais chocantes e inovadoras narrativas de terror de todos os tempos.
 

Com tantos ingredientes de suspense, Carrie, a Estranha logo se transformou num enorme sucesso internacional e passou a integrar a mitologia americana. Ao ser transportado para as telas, em 1976, pelas mãos de Brian de Palma, teve a atriz Sissy Spacek e John Travolta em seus papéis principais.
"
Celular,Stephen King,,"Onde você estava no dia 1º de outubro? O protagonista desta história, Clay Riddell, estava em Boston, quando o inferno surgiu diante de seus olhos. Bastou um toque de celular para que tudo se transformasse em carnificina. Stephen King – que já nos assustou com gatos, cachorros, palhaços, vampiros, lobisomens, alienígenas e fantasmas, entre outros personagens malévolos – elegeu os zumbis como responsáveis pelo caos desta vez.
 

Depois de anos de tentativas frustradas, o artista gráfico Clay Riddell finalmente consegue vender um de seus livros de histórias em quadrinhos. Para comemorar, decide tomar um sorvete. Mas, antes de poder saboreá-lo, as pessoas ao seu redor, que por acaso falavam ao celular naquele momento, enlouquecem.
 

Fora de si, começam a atacar e matar quem passa pela frente. Carros e caminhões colidem e avançam pelas calçadas em alta velocidade, destruindo tudo. Aviões batem nos prédios. Ouvem-se tiros e explosões vindos de todas as partes. 
 

Neste cenário de horror, Clay usa seu pesado portfolio para defender um homem prestes a ser abatido, Tom McCourt, e eles se tornam amigos. Juntos, eles resgatam Alice Maxwell, uma menina de 15 anos que sobreviveu a um ataque da própria mãe.
 

Os três sortudos — entre outros poucos que estavam sem celular naquele dia — tentam se proteger ao mesmo tempo em que buscam desesperadamente o filho de Clay. Assim, em ritmo alucinante, se desenrola esta história. O desafio é sobreviver num mundo virado às avessas. Será possível?
"
Love,Stephen King,,"Lisey Landon compartilhava uma intimidade profunda e às vezes assustadora com seu marido, Scott, um escritor célebre e cheio de segredos. Um desses segredos era a fonte de sua imaginação, um lugar com a capacidade de curá-lo ou destruí-lo. Agora, dois anos depois da morte de Scott, chega a vez de Lisey enfrentar os demônios de seu marido, embarcando em uma perigosa viagem na escuridão que ele habitava. Love é uma parábola sobre a imaginação e o amor, e sobre o poder do amor de transformar e de salvar.
"
O Cemiterio,Stephen King,,"Louis Creed, jovem médico de Chicago, acredita que encontrou seu lugar naquela pequena cidade do Maine. Uma casa boa, o trabalho na universidade, a felicidade da esposa e dos filhos. Num dos primeiros passeios para explorar a região, conhece um cemitério no bosque próximo à sua casa. Ali, gerações e gerações de crianças enterraram seus animais de estimação.
 

Para além dos pequenos túmulos, onde letras infantis registram seu primeiro contato com a morte, há, no entanto, um outro cemitério. Uma terra maligna que atrai pessoas com promessas sedutoras. Um universo dominado por forças estranhas capazes de tornar real o que sempre pareceu impossível.
 

A princípio, Louis se diverte com as histórias fantasmagóricas do velho vizinho Crandall. Só aos poucos começa a perceber que o poder de sua ciência tem limites. Prepare-se para páginas de puro pavor. Em uma de suas mais terríveis histórias, Stephen King mostra como a dor e a loucura, muitas vezes, dividem a mesma estrada. 
"
Os Olhos do Dragão,Stephen King,,"O mago da corte de Delain, Flagg, decide que agora, depois de quatrocentos anos de espera é a sua vez de governar.
Para isso cria um plano para matar o velho rei e incriminar seu filho mais velho, Pedro, deixando o trono para o mais novo, Tomás, que podia ser facilmente controlado pelo mago.
O principe Pedro é incriminado e condenado a passar o resto dos dias no Obelisco, onde a única coisa que ele pode fazer é planejar sua fuga e um jeito de punir o verdadeiro culpado pela morte de seu pai.
"
A Casa Negra,"Stephen King, Peter Straub",,"O mestre do terror Stephen King e Peter Straub escrevem, 18 anos depois, a continuação do livro ""O talismã"". Vinte anos se passaram e Jack Sawyer não é mais um menino. Aos 32 anos, não se lembra dos acontecimentos terríveis de quando tinha apenas 12 anos e que o levaram a um estranho universo paralelo - os Territórios. Agora, Jack é um detetive aposentado e mora no vilarejo de Tamarak. 
 

Um estranho acontecimento forçou-o a deixar a policia, e ele vive tranqüilo, protegido das recordações perigosas. Mas sua tranqüilidade está prestes a acabar. Uma série de assassinatos macabros faz com que o chefe de polícia local, amigo de Jack, lhe implore que ajude a polícia a encontrar o assassino.
"
Tudo é Eventual,Stephen King,,"Primeira reunião de contos de Stephen King desde Pesadelos e Paisagens Noturnas, o livro apresenta o mestre do terror em grande forma. Na obra destacam-se contos como ""Andando na bala"", o mais bem-sucedido e-book de todos os tempos, que atraiu meio milhão de leitores online no mundo todo; e narra a história de Alan Parker, um jovem universitário que precisa viajar urgentemente para visitar a mãe hospitalizada. Ao aceitar aquela carona no meio da noite, Alan só pensou que precisava chegar logo a seu destino. No meio do caminho, percebe que aquele estranho motorista poderia ter outros planos para aquela viagem... No entanto, já era tarde demais.
 

Em ""1408"", conheça Mike Enslin. Ele nunca acreditou nos fantasmas que adorava apresentar em seus livros de terror ? entretanto, uma única noite no misterioso quarto 1.408 é capaz de acabar com muitas de suas certezas e, quem sabe, até com sua própria vida.
 

No conto ""Tudo é eventual"", que dá título ao livro, Dink é um adolescente e consegue seu primeiro emprego. Vai ter que morar longe da mãe mas, pensando bem, isso não chega a ser um problema. Ele só precisa navegar pela Internet e tem que gastar cada centavo da bolada que recebe semanalmente. Tudo parece bom demais para ser verdade, até que ele passa a desconfiar de que coisas muito estranhas acontecem quando aperta o mouse. Ele não tem ninguém por perto para dividir seus medos e qualquer decisão sua pode ser fatal.
 

Essas são algumas das histórias que aguardam você. Um livro intenso, sinistro e envolvente com a inconfundível marca do mestre do horror.
 

Essa edição de ""Tudo é eventual"" vem num formato especial, o que tornou o seu valor mais barato. Trata-se, portanto de um produto novo no mercado.
"
Duma Key,Stephen King,,"Um acidente terrível em um canteiro de obras arranca o braço e a mão direitos de Edgar Freemantle e embaralha sua memória e sua mente. A raiva é praticamente tudo o que lhe resta enquanto inicia sua penosa recuperação. O casamento que gerou duas filhas maravilhosas termina de repente e Edgar começa a desejar não ter sobrevivido às lesões que quase o mataram. 
 

Seu psicólogo sugere uma ""cura geográfica"", uma nova vida longe das cidades gêmeas de Minneapolis-Saint Paul e da empresa que ele construiu do nada. E sugere que Edgar também retome o hábito de desenhar. Ele troca, então, Minnesota por uma casa alugada em Duma Key, uma ilhota de beleza extraordinária e estranhamente subdesenvolvida na costa da Flórida. Lá, ele ouve o chamado do sol se pondo no Golfo do México e da maré chacoalhando as conchas na praia - e desenha. 
 

Uma visita de Ilse, sua filha mais querida, o incentiva a abandonar a solidão. Ele encontra um amigo em Wireman - um homem que reluta em revelar suas próprias feridas - e, posteriormente, em Elizabeth Eastlake - uma idosa cujas raízes estão fincadas em Duma Key. Edgar passa a pintar - às vezes de modo febril -, e seu talento em combustão se revela tanto uma dádiva quanto uma arma. Muitos de seus quadros têm um poder que não pode ser controlado. 
 

Quando os fantasmas do passado de Elizabeth começam a surgir, descobrimos o perigo que suas pinturas surreais representam. Ao nos revelar a tenacidade do amor, os riscos da criatividade, os mistérios da memória e a natureza do sobrenatural, Stephen King escreve um romance ao mesmo tempo sublime, cativante e assustador.
"
A Batalha de Kadesh,Christian Jacq,,"Terceiro volume da saga do faraó Ramsés, que já vendeu mais de 11 milhões de exemplares em 29 países de todo o mundo. Ícone do Egito Antigo que reinou durante 67 anos, e cujos feitos estão talhados em esculturas nos templos egípcios, Ramsés terá que vencer dois inimigos poderosos: o implacável exército hitita diante da fortaleza de Kadesh e o efeito da magia que está tirando impiedosamente a vida da esposa real. Em desespero, Ramsés apelará aos céus. Mas seu pai celeste responderá a seus apelos? Toda a trajetória de lutas, poder e consagração do novo faraó está presente nos cinco volumes da renomada série.
"
A Dama de Abu Simbel,Christian Jacq,,"Quarto volume da saga do faraó Ramsés, que já vendeu mais de 11 milhões de exemplares em 29 países de todo o mundo. Ícone do Egito Antigo que reinou durante 67 anos, e cujos feitos estão talhados em esculturas nos templos egípcios, Ramsés enfrentará duas ameaças perigosas: Moisés vai retornar ao Egito para exigir de Ramsés autorização para o êxodo hebreu, e Ofir atingirá com sua força maléfica o primogênito de Ramsés. Conseguirá a magia da esposa real Nefertari – a dama de Abu-Simbel – proteger o Filho da Luz? Toda a trajetória de lutas, poder e consagração do novo faraó está presente nos cinco volumes da renomada série.
"
Sob a Acácia do Ocidente,Christian Jacq,,"Quinto e último volume da saga do faraó Ramsés, que já vendeu mais de 11 milhões de exemplares em 29 países de todo o mundo. Ícone do Egito Antigo que reinou durante 67 anos, e cujos feitos estão talhados em esculturas nos templos egípcios, Ramsés terá que ceder aos caprichos do povo hitita para honrar seu tratado de paz – ao perder Nefertari e Iset a Bela, será obrigado a desposar a princesa hitita Mat-Hor. Ameaçado por inimigos ocultos, em seus derradeiros anos de reinado, Ramsés não conseguirá sair vitorioso na batalha contra o seu maior adversário: o tempo, que lhe roubou irremediavelmente o amor de sua vida e seus amigos de sempre. Sentindo-se cada vez mais velho e solitário, Ramsés irá sentar-se à sombra da acácia do Ocidente para a sua última viagem. Toda a trajetória de lutas, poder e consagração do faraó está presente nos cinco volumes da renomada série.
"
Ponto de Impacto,Dan Brown,,"Quando um novo satélite da NASA encontra um estranho objeto escondido nas profundezas do Ártico, a agência espacial aproveita o impacto da sua descoberta para contornar uma grave crise financeira e de credibilidade. O peso dessa revelação acarreta sérias implicações para a política espacial norte-americana e, sobretudo, para a iminente eleição presidencial. 
 

Com o objetivo de verificar a autenticidade da descoberta, a Casa Branca envia a analista de inteligência Rachel Sexton para a desolada geleira Milne. Acompanhada por uma equipe de especialistas, incluindo o carismático pesquisador Michael Tolland, Rachel se depara com indícios de uma fraude científica que ameaça abalar o planeta. Antes que Rachel possa falar com o presidente dos Estados Unidos sobre suas suspeitas, ela e Michael são perseguidos por assassinos profissionais controlados por uma pessoa que é capaz de tudo para encobrir a verdade. 
 

Em uma fuga desesperada para salvar suas vidas, a única chance de sobrevivência para Rachel e Michael é desvendar a identidade de quem se esconde por trás de uma conspiração sem precedentes.
"
O Homem que Venceu Auschwitz,"Denis Avey, Roby Broomby",,"Este livro conta a história real um soldado britânico que se infiltrou no campo de concentração de Auschwitz. No verão de 1944, Denis Avey trabalhava num campo de prisioneiros de guerra próximo ao campo de concentração de Buna-Monowitz, conhecido como Auschwitz III. Já tinha ouvido falar da brutalidade no tratamento dos prisioneiros de lá e estava determinado a testemunhar o que podia. Traçou, então, um plano para trocar de lugar com um prisioneiro judeu e infiltrou-se no campo de concentração, onde foi a testemunha ocular da barbárie que lá ocorria. Durante muitas décadas, Avey não se sentiu preparado para relatar a experiência do passado, porém, aos 91 anos, procura revelar neste livro tudo o que presenciou.
"
O Jardim Secreto,Frances Hodgson Burnett,,"Adaptado para a TV e cinema, O Jardim Secreto vendeu milhões de exemplares por todo o mundo desde sua primeira edição em 1911. 
 

Considerado um dos mais importantes livros infantojuvenis do século XX pela National Education Association, a obra está entre os 100 livros mais indicados por professores em língua inglesa.
 

O Jardim Secreto conta a história de Mary Lennox, uma menina mimada e arrogante. A típica criança que provavelmente você não convidaria para a sua festa de aniversário ou não sentaria ao lado dela na sala de aula.
 

Depois de perder os seus pais ainda muito nova, ela é enviada à Inglaterra para viver com seu tio. Mal sabe que essa mudança irá transformar a ela e todos a sua volta por completo.
 

O Jardim Secreto é um livro maravilhoso sobre amizade, afeto, cura e transformação. 
 

Mágico e envolvente. 
Uma leitura carregada de lições que guardaremos por toda a vida. 
 

Um livro que une gerações. 
 

Desvende com Mary e seus amigos o mistério desse Jardim.
"
O Clã dos Magos,Trudi Canavan,,"Todos os anos, os magos de Imardin reúnem-se para purificar as ruas da cidade dos pedintes, criminosos e vagabundos. Mestres das disciplinas de magia, sabem que ninguém pode opor-se a eles. No entanto, seu escudo protetor não é tão impenetrável quanto acreditam.
 

Enquanto a multidão é expurgada da cidade, uma jovem garota de rua, furiosa com o tratamento dispensado pelas autoridades a sua família e amigos, atira uma pedra ao escudo protetor, colocando nisso toda a raiva que sente. Para o espanto de todos que testemunham a ação, a pedra atravessa sem dificuldades a barreira e deixa um dos magos inconsciente.
 

Trata-se de um ato inconcebível, e o maior medo da Clã de repente se concretiza: uma maga não treinada está à solta pelas ruas. Ela deve ser encontrada, e rápido, antes que seus poderes fiquem fora de controle e destruam a todos.
 

O Clã dos MAgos é o primeiro volume d'A Trilogia do Mago Negro, série de estreia da autora best-seller do Sunday Times Trudi Canavan, que tem cativado leitores ao redor do mundo.
"
A Aprendiz,Trudi Canavan,,"Sozinha entre todos os aprendizes do Clã dos Magos, somente Sonea vem de uma classe menos privilegiada. No entanto, ela ganhou aliados poderosos, como Lorde Dannyl, recentemente promovido a Embaixador. 
 

Ele terá, agora, de partir para a corte de Elyne, deixando Sonea à mercê dos boatos maliciosos e mentirosos que seus inimigos continuam espalhando... até o Lorde Supremo entrar em cena. Entretanto, o preço do apoio de Akkarin é alto porque, em troca, Sonea deve proteger seus mistérios mais sombrios.
 

Enquanto isso, a ordem que Dannyl está obedecendo, de buscar fatos sobre a longa pesquisa abandonada de Akkarin sobre o conhecimento mágico antigo, o está levando a uma extraordinária jornada, chegando cada vez mais perto de um futuro surpreendente e perigoso.
"
O Lorde Supremo,Trudi Canavan,,"Na cidade de Imardin, onde aqueles que têm magia têm poder, uma jovem garota de rua, adotada pelo Clã dos Magos, se encontra no centro de uma terrível trama que pode destruir o mundo todo.
 

Sonea aprendeu muito no Clã, e os outros aprendizes agora a tratam com um respeito relutante. No entanto, ela não pode esquecer o que viu na sala subterrânea do Lorde Supremo — ou seu aviso de que o antigo inimigo do reino está crescendo em poder novamente. Conforme Sonea evolui no aprendizado, começa a duvidar da palavra do mestre de seu clã. Poderia a verdade ser tão aterrorizante quanto Akkarin afirma? Ou ele está tentando enganá-la para que Sonea o ajude em algum terrível esquema sombrio?
"
A Casa da Poeira e dos Sonhos,Brenda Reid,,"Uma casa em ruínas, o mundo em guerra... num pequeno vilarejo, tudo o que ela realmente precisava para viver.
 

Um jovem diplomata inglês e sua esposa são transferidos para Atenas. Hugh adora o estilo de vida glamouroso da embaixada, mas sua esposa começa a ficar cansada da rotina de festas intermináveis e eventos sociais.
 

Quando ele é enviado a Creta para resolver uma questão política, o casal muda para uma casa decadente, de propriedade da família dele. Evadne logo se apaixona pela ilha e pelos moradores locais e decide continuar lá mesmo depois que o marido retorna a Atenas. Enquanto tenta reformar a casa que está caindo aos pedaços, ela inicia uma sólida amizade com Anthi, uma moça do povoado, e com Christo, um jovem empreiteiro que se torna um parceiro na tarefa de recuperar a casa.
 

Mas as nuvens escuras da guerra estão se aproximando, e a pacífica ilha vai se tornar palco de violência nos dias que virão. Sem nada a perder, todos acabam tomando novas atitudes em relação ao amor e à amizade como se aquela fosse a última oportunidade da vida deles.
"
O Filho da Luz,Christian Jacq,,"Primeiro volume da saga do faraó Ramsés, que já vendeu mais de 11 milhões de exemplares em 29 países de todo o mundo. Ícone do Egito Antigo que reinou durante 67 anos, e cujos feitos estão talhados em esculturas nos templos egípcios, Ramsés é um adolescente de 14 anos que acalenta o sonho secreto de suceder seu pai, o faraó Sethi, no trono do Egito.
 

Mas o herdeiro natural é Chenar, filho primogênito do faraó. Quando Sethi resolve iniciar Ramsés à sagrada e nobre função, as intrigas, provações e armadilhas mortais se multiplicam, entre elas a cobiça e a inveja do seu irmão mais velho. Toda a trajetória de lutas, poder e reconhecimento está presente nos cinco volumes da consagrada série.
"
O Templo dos Milhões de Anos,Christian Jacq,,"Segundo volume da saga do faraó Ramsés, que já vendeu mais de 11 milhões de exemplares em 29 países de todo o mundo. Ícone do Egito Antigo que reinou durante 67 anos, e cujos feitos estão talhados em esculturas nos templos egípcios, Ramsés é coroado faraó com apenas 23 anos de idade. 
 

Ele dispõe de condições favoráveis para reinar com prosperidade, justiça e sabedoria, mas seu invejoso irmão Chenar e outros inimigos ocultos estimulam intrigas, armadilhas e complôs para tomar-lhe o trono. O amor de Nefertari, a esposa real, e de sua mãe Touya, serão de grande ajuda para que Ramsés construa um templo e vença os adversários. Toda a trajetória de lutas, poder e consagração do novo faraó está presente nos cinco volumes da renomada série.
"
Merrick,Anne Rice,,"Incríveis poderes relacionados ao vodu. Uma bruxa preparada desde criança para ser a detentora de segredos mórbidos, responsáveis por suas glórias e também por todas as suas desgraças. Procurada por David Talbot, um ex-estudioso do oculto transformado em vampiro, ela narra sua saga repleta de erotismo, magia horror e sangue. E tenta trazer Cláudia, A mulher condenada a viver para sempre presa em um corpo infantil, de volta à vida, atendendo a um pedido do atormentado vampiro Louis. Neste romance, Anne Rice brinda sua legião de fãs; ao redor do mundo com mais um clássico gótico. Há mais de vinte anos na lista das mais vendidas e com adaptações para o cinema e a tv, as obras de Anne Rice se tornaram ícones dos nossos tempos, provando, assim, que a beleza e o horror, o trágico e o sublime, a morte e a ressurreição são apenas faces da mesma moeda.
"
O Vampiro Lestat,Anne Rice,Rocco,"A história de Lestat, um aristocrata que resolve tornar-se ator na Idade Média, e torna-se vampiro ao acaso. Conheça sua vida ao longo dos séculos e como se transforma em um ídolo do rock na atualidade.
"
O Vampiro Armand,Anne Rice,Rocco,"O sedutor Armand, que despontou em Entrevista com o vampiro, hoje um clássico do horror gótico, retorna para contar sua fascinante trajetória de vida em mais um episódio das Crônicas Vampirescas. Tudo começa onde o romance Memnoch (quinto livro da série) termina. Vampiros do mundo inteiro estão reunidos em torno de Lestat, prostrado no chão de uma catedral, não se sabe se morto ou em coma. 
Enquanto reflete sobre a condição de Lestat, Armand é convidado por David Talbot para contar a sua vida. A narrativa passa então abruptamente para o século XV, em Kiev Russia; uma cidade em ruínas dominada pelos mongóis onde Armand vive a sua infância e depois para Constantinopla, onde ele é vendido como escravo por caçadores tártaros. Seu comprador é um Marius, um misterioso pintor(também vampiro). Ele é quem dará a Armand o dom da imortalidade. 
A autora descreve em detalhes o sensual relacionamento do ainda mortal Armand com o seu mentor e a conseqüente transformação do pupilo em vampiro. Quando esta finalmente ocorre, as cenas fortes de sexo são substituídas pelo questionamento de Armand, forçado a escolher entre a imortalidade adquirida e a salvação de sua alma. 
O romance descreve cenas de luxo e elegância no suntuoso palácio renascentista de Marius, em Veneza, passa para mirabolantes aventuras e cultos diabólicos na Paris do século XIX, até chegar à Nova Orleans de hoje. Os capítulos finais relembram o significado profundo dos vampiros de Anne Rice: uma metáfora para os mais intensos e ocultos desejos do ser humano.
"
Memnoch,Anne Rice,Rocco,"Anne Rice retoma em 'Memnoch' o relato da saga do vampiro Lestat e sua eterna busca pela razão de ser. Dessa vez instigado por Memnoch, o Demônio em pessoa, que deseja fazer dele o Príncipe das Trevas e com isso desafiar a Deus, Lestat visita o Paraíso e desce ao Inferno.
"
Entrevista com o Vampiro,Anne Rice,Rocco,"Uma história que começa com a ousadia de um jovem repórter ao entrevistar Louis de Pointe du Lac, nascido em 1766 e transformado em vampiro pelo próprio Lestat, figura apaixonante que terminará, ao longo da série, arrebatando multidões como cantor de rock. Louis, esse vampiro que se recusa a livrar-se das características humanas e aceitar a crueldade e a frieza que marcam os vampiros, continua a contar a história desde o início. É um mundo de uma fantasia impressionante, um mundo gótico, romântico, esse criado por Anne Rice e traduzido por Clarice Lispector. O texto da autora americana não poderia ter melhor intérprete, talvez mesmo cúmplice.
"
Cântico de Sangue,Anne Rice,Rocco,"Este livro é uma história de amor e lealdade, que retorna à Fazenda Blackwood e mostra o universo do proprietário Quinn Blackwood, e sua amada, Mona Mayfair, que escapa da morte ao receber o Dom das Trevas e se tornar uma vampira. Como consequência da metamorfose de Mona, Lestat passa a ser assombrado pelo fantasma de Julian Mayfair, um espírito que é guardião da família há anos. Paralelamente, o vampiro experimenta um sentimento até então desconhecido para ele - o amor puro e verdadeiro, descoberto na figura de Rowan Mayfair, médica que, além de bruxa, é prima de Mona e foi responsável por cuidar da jovem durante os anos em que ela esteve doente. Mas levar este romance adiante não será fácil - há várias barreiras a serem superadas, sendo a maior delas Michael Curry, marido de Rowan. A transformação de Mona em um ser imortal lhe dá forças para tentar solucionar um mistério - a localização de sua filha, Morrigan, levada pouco depois de nascer e cujo parto foi a causa da doença da mãe. Durante a jornada em busca da desaparecida, Lestat, Mona e Quinn encontram uma ilha particular na costa do Haiti, dominada por traficantes de drogas e habitada por seres monstruosos - os Taltos, criaturas com as quais a família Mayfair tem uma ligação que remonta a gerações ancestrais. O destino de Morrigan é conhecido por três representantes da espécie - Oberon, Miravelle e Larkyn, filhos do milionário Ash Templeton, que, no passado, fez amizade com Rowan e Michael.
"
A Rainha dos Condenados,Anne Rice,Rocco,"Em A rainha dos condenados, a escritora americana Anne Rice retoma os personagens que a tornaram famosa e faz o livro de maior suspense e densidade de suas Crônicas Vampirescas. Aqui, há vampiros para todos os gostos. Jovens e delinqüentes, como Baby Jenk, da Gangue das Garra, românticos como Armand e Daniel, estudiosos como Jesse, que investiga para a organização conhecida como Talamasca, a história desses seres estranhos, imortais misturados entre mortais, para quem sangue, sexo e morte são elementos indissolúveis do dia-a-dia. Reunidos em torno de Lestat, eles respondem ao chamado de sua música quase hipnótica e correm, ao longo da narrativa de Anne Rice, um perigo difícil de evitar. É que o som de Lestat desperta Akasha, a mãe dos vampiros, a encarnação da força maléfica feminina, disposta a escolher os justos, entre os vampiros, através de um banho de sangue. Mestra da alquimia entre crueldade e poesia, Anne Rice prova em A rainha dos condenados saber fazer em literatura o que Lestat faz em música. Impossível não segui-la hipnoticamente até a última página.
"
A Fazenda Blackwood,Anne Rice,Rocco,"Bem-vindos à Fazenda Blackwood. Imensas colunas brancas, salas de estar espaçosas, jardins banhados pelo sol e uma faixa escura do fechado pântano de Sugar Devil. Este é o mundo de Quinn Blackwood, um jovem assombrado desde o nascimento por um misterioso duplo, seu alter ego, um espírito conhecido como Goblin, entidade de um mundo onírico do qual Quinn não consegue escapar, e que o impede de integrar-se ao que quer que seja. Ao tornar-se vampiro, Quinn perde tudo que era seu por direito e ganha uma imortalidade indesejada e seu duplo se torna mais vampiresco e aterrador do que o próprio Quinn.
Enquanto a história avança e recua no tempo, desde a infância de Quinn na Fazenda Blackwood até os dias de hoje em Nova Orleans, da antiga Pompeia a Nápoles do século XIX, Quinn sai em busca do lendário vampiro Lestat, na esperança de livrar-se do espectro que o atrai inexoravelmente de volta ao pântano de Sugar Devil e ao explosivo segredo que oculta. 
Tal como A hora das bruxas, A Fazenda Blackwood é a saga de uma família, seus dramas e segredos, seus sonhos de juventude e promessas. Uma história da perda e da procura do amor, dos mistérios e do destino, em que Anne Rice supera-se em descrições de cenários macabros, casarões sinistros e a lascívia que motiva seus sugadores de sangue e impulsiona suas narrativas fantasmagóricas. É Anne Rice na plenitude de seu estilo.
"
"Vittorio, o Vampiro",Anne Rice,Rocco,"Com todos os encantos de seus palácios, bibliotecas, igrejas e museus, Florença – a antiga capital da Toscana às margens do rio Arno – é o mais importante cenário da história de Vittorio, que morreu para a existência humana aos 16 anos.
Jovem, rico, feliz, letrado, Vittorio di Raniari era apaixonado pelas pinturas dos grandes mestres da escola florentina, e sua formação completa de cavalheiro era ponto de honra para seu pai. Numa noite, entretanto, este se recusa a entregar crianças de suas terras a vampiros, provocando a ira dos seres das trevas. Eles se vingam dizimando, sem piedade, a família num ataque ao qual apenas Vittorio sobrevive. 
Amadurecido pelo sofrimento, o menino vai em busca de socorro, e descobre a subserviência de uma cidade inteira aos vampiros da Corte do Graal de Rubi. Com a ajuda de anjos, destrói a macabra Corte e quase se liberta do mundo do mal, mas não resiste à paixão por Ursula – a sensual vampira que o põe a perder. 
A bem fundamentada ambientação histórica, o caráter dos personagens – humanos, anjos e vampiros –, a exposição das vaidades, das misérias e dos jogos de sedução, a descrição minuciosa dos acontecimentos, entre outros aspectos, envolvem o leitor de forma inapelável. Vampiro que não foge da cruz, entra em igrejas, conversa com padres e anjos, mas que não pode se expor à luz do sol, Vittorio é uma vítima da própria inocência e de seu primeiro e único amor.
"
Sangue e Ouro,Anne Rice,Rocco,"O vampiro Lestat volta à cena como narrador neste livro de Anne Rice. 'Cântico de sangue' é uma história de amor e lealdade, que faz os leitores retornarem à Fazenda Blackwood e os coloca frente a frente com o universo do proprietário Quinn Blackwood, e sua amada, Mona Mayfair, que escapa da morte iminente ao receber o Dom das Trevas e se tornar uma vampira. Como conseqüência da metamorfose de Mona, Lestat passa a ser assombrado pelo fantasma de Julian Mayfair, um espírito que é guardião da família há anos. Paralelamente, o vampiro experimenta um sentimento até então desconhecido para ele - o amor puro e verdadeiro, descoberto na figura de Rowan Mayfair, médica brilhante que, além de bruxa, é prima de Mona e foi responsável por cuidar da jovem durante os anos em que ela esteve gravemente doente. Mas levar este romance adiante não será fácil - há várias barreiras a serem superadas, sendo a maior delas Michael Curry, marido de Rowan. A transformação de Mona em um ser imortal lhe dá forças para tentar solucionar um mistério - a localização de sua filha, Morrigan, levada pouco depois de nascer e cujo parto foi a causa da misteriosa doença da mãe. Durante a jornada em busca da desaparecida, Lestat, Mona e Quinn encontram uma ilha particular na costa do Haiti, dominada por traficantes de drogas e habitada por seres monstruosos e fascinantes. O destino de Morrigan é conhecido por três representantes da espécie. Ao longo das páginas, a autora mostra que Lestat atingiu a maturidade. O personagem se supera, ao desistir da vontade de dominar e abrir mão do desejo por sangue pensando no benefício de outras pessoas. Em 'Cântigo de sangue', Anne Rice deixa seu vampiro mais famoso dividido entre os prazeres e as torturas existentes no território que separa a sombra da morte da imortalidade.
"
